Country Name,Country Code,Population19
Aruba,ABW,106442
Africa Eastern and Southern,AFE,667242712
Afghanistan,AFG,37769499
Africa Western and Central,AFW,454306063
Angola,AGO,32353588
Albania,ALB,2854191
Andorra,AND,76343
Arab World,ARB,441467739
United Arab Emirates,ARE,9211657
Argentina,ARG,44938712
Armenia,ARM,2820602
American Samoa,ASM,47321
Antigua and Barbuda,ATG,92117
Australia,AUS,25340217
Austria,AUT,8879920
Azerbaijan,AZE,10024283
Burundi,BDI,11874838
Belgium,BEL,11488980
Benin,BEN,12290444
Burkina Faso,BFA,20951639
Bangladesh,BGD,165516222
Bulgaria,BGR,6975761
Bahrain,BHR,1494188
"Bahamas, The",BHS,404557
Bosnia and Herzegovina,BIH,3360711
Belarus,BLR,9419758
Belize,BLZ,389095
Bermuda,BMU,63911
Bolivia,BOL,11777315
Brazil,BRA,211782878
Barbados,BRB,280180
Brunei Darussalam,BRN,438048
Bhutan,BTN,767459
Botswana,BWA,2499702
Central African Republic,CAF,5209324
Canada,CAN,37601230
Central Europe and the Baltics,CEB,102398537
Switzerland,CHE,8575280
Channel Islands,CHI,169410
Chile,CHL,19039485
China,CHN,1407745000
Cote d'Ivoire,CIV,26147551
Cameroon,CMR,25782341
"Congo, Dem. Rep.",COD,89906890
"Congo, Rep.",COG,5570733
Colombia,COL,50187406
Comoros,COM,790986
Cabo Verde,CPV,577030
Costa Rica,CRI,5084532
Caribbean small states,CSS,7424102
Cuba,CUB,11316697
Curacao,CUW,157441
Cayman Islands,CYM,66134
Cyprus,CYP,1228836
Czechia,CZE,10671870
Germany,DEU,83092962
Djibouti,DJI,1073994
Dominica,DMA,71428
Denmark,DNK,5814422
Dominican Republic,DOM,10881882
Algeria,DZA,42705368
East Asia & Pacific (excluding high income),EAP,2106439246
Early-demographic dividend,EAR,3335463995
East Asia & Pacific,EAS,2353862247
Europe & Central Asia (excluding high income),ECA,399592320
Europe & Central Asia,ECS,921179725
Ecuador,ECU,17343740
"Egypt, Arab Rep.",EGY,105618671
Euro area,EMU,342452734
Eritrea,ERI,3498818
Spain,ESP,47134837
Estonia,EST,1326898
Ethiopia,ETH,114120594
European Union,EUU,447367191
Fragile and conflict affected situations,FCS,957446713
Finland,FIN,5521606
Fiji,FJI,918465
France,FRA,67388001
Faroe Islands,FRO,51681
"Micronesia, Fed. Sts.",FSM,111379
Gabon,GAB,2242785
United Kingdom,GBR,66836327
Georgia,GEO,3720161
Ghana,GHA,31522290
Gibraltar,GIB,32685
Guinea,GIN,12877539
"Gambia, The",GMB,2508883
Guinea-Bissau,GNB,1970457
Equatorial Guinea,GNQ,1553031
Greece,GRC,10721582
Grenada,GRD,122724
Greenland,GRL,56225
Guatemala,GTM,16604026
Guam,GUM,168624
Guyana,GUY,798753
High income,HIC,1235869243
"Hong Kong SAR, China",HKG,7507900
Honduras,HND,9958829
Heavily indebted poor countries (HIPC),HPC,815100831
Croatia,HRV,4065253
Haiti,HTI,11160438
Hungary,HUN,9771141
IBRD only,IBD,4855633857
IDA & IBRD total,IBT,6554880269
IDA total,IDA,1699246412
IDA blend,IDB,570633332
Indonesia,IDN,269582878
IDA only,IDX,1128613080
Isle of Man,IMN,83933
India,IND,1383112050
Not classified,INX,
Ireland,IRL,4934340
"Iran, Islamic Rep.",IRN,86564202
Iraq,IRQ,41563520
Iceland,ISL,360563
Israel,ISR,9054000
Italy,ITA,59729081
Jamaica,JAM,2813773
Jordan,JOR,10698683
Japan,JPN,126633000
Kazakhstan,KAZ,18513673
Kenya,KEN,50951450
Kyrgyz Republic,KGZ,6456200
Cambodia,KHM,16207746
Kiribati,KIR,124241
St. Kitts and Nevis,KNA,47712
"Korea, Rep.",KOR,51764822
Kuwait,KWT,4441100
Latin America & Caribbean (excluding high income),LAC,583500375
Lao PDR,LAO,7212053
Lebanon,LBN,5781907
Liberia,LBR,4985289
Libya,LBY,6569088
St. Lucia,LCA,178583
Latin America & Caribbean,LCN,645295804
Least developed countries: UN classification,LDC,1048193552
Low income,LIC,680013468
Liechtenstein,LIE,38482
Sri Lanka,LKA,21803000
Lower middle income,LMC,3313903477
Low & middle income,LMY,6477841008
Lesotho,LSO,2225702
Late-demographic dividend,LTE,2309491520
Lithuania,LTU,2794137
Luxembourg,LUX,620001
Latvia,LVA,1913822
"Macao SAR, China",MAC,663653
St. Martin (French part),MAF,33121
Morocco,MAR,36304408
Monaco,MCO,37034
Moldova,MDA,2664224
Madagascar,MDG,27533134
Maldives,MDV,504508
Middle East & North Africa,MEA,473201775
Mexico,MEX,125085311
Marshall Islands,MHL,44728
Middle income,MIC,5797827540
North Macedonia,MKD,2076694
Mali,MLI,20567424
Malta,MLT,504062
Myanmar,MMR,53040212
Middle East & North Africa (excluding high income),MNA,405259403
Montenegro,MNE,622028
Mongolia,MNG,3232430
Northern Mariana Islands,MNP,49858
Mozambique,MOZ,30285595
Mauritania,MRT,4383849
Mauritius,MUS,1265711
Malawi,MWI,18867337
Malaysia,MYS,32804020
North America,NAC,365995094
Namibia,NAM,2446644
New Caledonia,NCL,271230
Niger,NER,23443393
Nigeria,NGA,203304492
Nicaragua,NIC,6663924
Netherlands,NLD,17344874
Norway,NOR,5347896
Nepal,NPL,28832496
Nauru,NRU,12132
New Zealand,NZL,4979200
OECD members,OED,1362922537
Oman,OMN,4602768
Other small states,OSS,32005203
Pakistan,PAK,223293280
Panama,PAN,4232532
Peru,PER,32824861
Philippines,PHL,110380804
Palau,PLW,17916
Papua New Guinea,PNG,9542486
Poland,POL,37965475
Pre-demographic dividend,PRE,957503246
Puerto Rico,PRI,3193694
"Korea, Dem. People's Rep.",PRK,25755441
Portugal,PRT,10286263
Paraguay,PRY,6530026
West Bank and Gaza,PSE,4685306
Pacific island small states,PSS,2536070
Post-demographic dividend,PST,1113310738
French Polynesia,PYF,299717
Qatar,QAT,2807235
Romania,ROU,19371648
Russian Federation,RUS,144406261
Rwanda,RWA,12835028
South Asia,SAS,1861598514
Saudi Arabia,SAU,35827362
Sudan,SDN,43232093
Senegal,SEN,16000781
Singapore,SGP,5703569
Solomon Islands,SLB,674993
Sierra Leone,SLE,8046828
El Salvador,SLV,6280217
San Marino,SMR,34178
Somalia,SOM,15981300
Serbia,SRB,6945235
Sub-Saharan Africa (excluding high income),SSA,1121451150
South Sudan,SSD,10447666
Sub-Saharan Africa,SSF,1121548775
Small states,SST,41965375
Sao Tome and Principe,STP,214599
Suriname,SUR,600301
Slovak Republic,SVK,5454147
Slovenia,SVN,2088385
Sweden,SWE,10278887
Eswatini,SWZ,1169613
Sint Maarten (Dutch part),SXM,41608
Seychelles,SYC,97625
Syrian Arab Republic,SYR,20098251
Turks and Caicos Islands,TCA,43080
Chad,TCD,16126866
East Asia & Pacific (IDA & IBRD countries),TEA,2080648616
Europe & Central Asia (IDA & IBRD countries),TEC,460994696
Togo,TGO,8243094
Thailand,THA,71307763
Tajikistan,TJK,9337003
Turkmenistan,TKM,6158420
Latin America & the Caribbean (IDA & IBRD countries),TLA,629515571
Timor-Leste,TLS,1280438
Middle East & North Africa (IDA & IBRD countries),TMN,400574097
Tonga,TON,104951
South Asia (IDA & IBRD),TSA,1861598514
Sub-Saharan Africa (IDA & IBRD countries),TSS,1121548775
Trinidad and Tobago,TTO,1519955
Tunisia,TUN,12049314
