Country Name,Country Code,UrbanPop
Aruba,ABW,46351
Africa Eastern and Southern,AFE,242451029
Afghanistan,AFG,9727157
Africa Western and Central,AFW,214684207
Angola,AGO,21410634
Albania,ALB,1747593
Andorra,AND,67170
Arab World,ARB,259953055
United Arab Emirates,ARE,7994705
Argentina,ARG,41339571
Armenia,ARM,1783156
American Samoa,ASM,41239
Antigua and Barbuda,ATG,22574
Australia,AUS,21824008
Austria,AUT,5196085
Azerbaijan,AZE,5616706
Burundi,BDI,1587191
Belgium,BEL,11263911
Benin,BEN,5882329
Burkina Faso,BFA,6281301
Bangladesh,BGD,61911343
Bulgaria,BGR,5256027
Bahrain,BHR,1335714
"Bahamas, The",BHS,336316
Bosnia and Herzegovina,BIH,1634179
Belarus,BLR,7445754
Belize,BLZ,178462
Bermuda,BMU,63911
Bolivia,BOL,8217386
Brazil,BRA,183878366
Barbados,BRB,87298
Brunei Darussalam,BRN,341423
Bhutan,BTN,319355
Botswana,BWA,1754091
Central African Republic,CAF,2175935
Canada,CAN,30638234
Central Europe and the Baltics,CEB,63935741
Switzerland,CHE,6332759
Channel Islands,CHI,52400
Chile,CHL,16686776
China,CHN,848982855
Cote d'Ivoire,CIV,13397744
Cameroon,CMR,14687684
"Congo, Dem. Rep.",COD,40499458
"Congo, Rep.",COG,3753170
Colombia,COL,40703994
Comoros,COM,230683
Cabo Verde,CPV,381965
Costa Rica,CRI,4071490
Caribbean small states,CSS,3816926
Cuba,CUB,8726192
Curacao,CUW,140277
Cayman Islands,CYM,66134
Cyprus,CYP,820924
Czechia,CZE,7888753
Germany,DEU,64294010
Djibouti,DJI,836802
Dominica,DMA,50561
Denmark,DNK,5116342
Dominican Republic,DOM,8904426
Algeria,DZA,31255632
East Asia & Pacific (excluding high income),EAP,1191998162
Early-demographic dividend,EAR,1516787804
East Asia & Pacific,EAS,1409751117
Europe & Central Asia (excluding high income),ECA,269739792
Europe & Central Asia,ECS,665705220
Ecuador,ECU,11097565
"Egypt, Arab Rep.",EGY,45130858
Euro area,EMU,264481968
Eritrea,ERI,1424439
Spain,ESP,37974181
Estonia,EST,916236
Ethiopia,ETH,24222096
European Union,EUU,334356258
Fragile and conflict affected situations,FCS,413500046
Finland,FIN,4717991
Fiji,FJI,521229
France,FRA,54388182
Faroe Islands,FRO,21822
